Weekly Relative SST data starts week centered on 9Sept1981

                Nino1+2      Nino3      Nino34     Nino4
 Week             SSTA       SSTA       SSTA       SSTA
 09SEP1981        -0.3       -0.1        0.0        0.0
 16SEP1981        -0.6       -0.1        0.1        0.0
 23SEP1981        -0.1       -0.3       -0.2       -0.1
 30SEP1981        -0.6        0.0       -0.2       -0.4
 07OCT1981        -0.6        0.1        0.0       -0.1
 14OCT1981        -0.8        0.1       -0.1       -0.1
 21OCT1981        -0.6        0.0        0.2        0.2
 28OCT1981        -0.3       -0.2       -0.2       -0.2
 04NOV1981        -0.3       -0.4       -0.7       -0.3
 11NOV1981        -0.4       -0.5       -0.6       -0.3
 18NOV1981         0.0       -0.4       -0.3        0.0
 25NOV1981         0.0       -0.2       -0.1        0.2
 02DEC1981         0.1        0.0        0.0        0.3
 09DEC1981         0.4       -0.2       -0.2       -0.1
 16DEC1981         0.3       -0.2       -0.6       -0.6
 23DEC1981         0.3        0.3       -0.1        0.1
 30DEC1981         0.0        0.5        0.1        0.0
 06JAN1982         0.4        0.6        0.3       -0.1
 13JAN1982         0.0        0.5        0.1       -0.4
 20JAN1982        -0.8        0.3        0.5        0.4
 27JAN1982         0.0        0.6        0.6        0.3
 03FEB1982        -0.1        0.5        0.4       -0.1
 10FEB1982        -0.4        0.2        0.0        0.2
 17FEB1982        -0.7        0.2        0.0        0.2
 24FEB1982        -1.0       -0.1        0.0        0.5
 03MAR1982        -1.0        0.2        0.2        0.3
 10MAR1982        -1.2       -0.1        0.0        0.3
 17MAR1982        -1.1        0.1        0.2        0.2
 24MAR1982        -1.2        0.2        0.5        0.6
 31MAR1982        -1.5        0.1        0.1        0.3
 07APR1982        -1.1        0.5        0.6        0.5
 14APR1982        -1.2        0.2        0.3        0.3
 21APR1982        -1.2        0.3        0.5        0.6
 28APR1982        -0.8        0.4        0.5        0.5
 05MAY1982        -0.7        0.4        0.5        0.8
 12MAY1982        -0.6        0.5        0.4        0.7
 19MAY1982        -0.4        1.0        1.1        1.1
 26MAY1982        -0.2        0.9        1.1        0.9
 02JUN1982        -0.1        0.9        1.1        0.9
 09JUN1982        -0.2        0.8        1.0        1.1
 16JUN1982         0.1        0.8        0.8        1.1
 23JUN1982        -0.2        0.8        1.1        1.0
 30JUN1982         0.1        0.4        1.1        1.3
 07JUL1982         1.0        0.3        0.3        0.6
 14JUL1982         0.5        0.7        0.4        0.1
 21JUL1982         0.1        1.0        1.0        0.1
 28JUL1982         0.5        0.7        0.7        0.2
 04AUG1982         0.9        1.0        1.0        0.2
 11AUG1982         1.3        1.1        1.3        0.4
 18AUG1982         1.2        1.2        1.4        0.5
 25AUG1982         1.0        1.3        1.0        0.2
 01SEP1982         1.2        1.2        0.9        0.0
 08SEP1982         1.7        1.6        1.2        0.4
 15SEP1982         1.5        1.8        1.6        0.7
 22SEP1982         1.5        2.1        2.0        0.6
 29SEP1982         1.7        2.6        2.2        0.3
 06OCT1982         1.6        2.5        2.3        0.5
 13OCT1982         1.8        2.1        2.1        0.6
 20OCT1982         2.0        2.4        2.0        0.7
 27OCT1982         2.3        2.2        1.8        0.6
 03NOV1982         2.8        2.3        1.8        0.2
 10NOV1982         3.0        2.6        2.2        0.4
 17NOV1982         3.2        2.6        1.9        0.3
 24NOV1982         3.4        3.1        2.4        0.4
 01DEC1982         3.5        2.8        2.0        0.5
 08DEC1982         3.3        2.9        2.1        0.3
 15DEC1982         3.1        3.2        2.4        0.3
 22DEC1982         3.5        3.4        2.8        0.3
 29DEC1982         3.1        3.6        2.9        0.5
 05JAN1983         3.1        3.3        2.5        0.4
 12JAN1983         2.5        3.0        2.5        0.5
 19JAN1983         2.6        3.1        2.3        0.3
 26JAN1983         2.3        3.1        2.4        0.2
 02FEB1983         2.4        2.8        2.3        0.2
 09FEB1983         2.2        2.6        2.2        0.1
 16FEB1983         1.6        2.1        1.9        0.4
 23FEB1983         1.1        1.9        1.8        0.6
 02MAR1983         1.6        2.1        2.1        0.4
 09MAR1983         2.0        1.7        1.7        0.5
 16MAR1983         1.9        1.7        1.5        0.4
 23MAR1983         2.2        1.5        1.2        0.5
 30MAR1983         2.1        1.2        1.0        0.2
 06APR1983         2.1        1.3        0.8        0.0
 13APR1983         2.7        1.8        1.1       -0.2
 20APR1983         2.9        1.7        1.1        0.1
 27APR1983         3.1        1.6        1.1        0.1
 04MAY1983         3.3        1.8        1.1        0.3
 11MAY1983         3.3        1.7        1.0        0.6
 18MAY1983         3.7        1.7        0.9        0.5
 25MAY1983         4.5        1.5        0.6        0.1
 01JUN1983         4.4        1.8        1.0        0.2
 08JUN1983         4.0        1.7        0.7        0.2
 15JUN1983         4.2        1.8        0.7       -0.3
 22JUN1983         4.3        1.4        0.1       -0.4
 29JUN1983         4.6        1.3        0.1       -0.2
 06JUL1983         4.4        1.0       -0.1       -0.3
 13JUL1983         4.2        0.9       -0.1       -0.1
 20JUL1983         3.9        0.8       -0.4       -0.2
 27JUL1983         3.8        0.7       -0.4       -0.4
 03AUG1983         3.6        0.7       -0.5       -0.2
 10AUG1983         3.2        0.8       -0.4       -0.3
 17AUG1983         2.8        0.7        0.0       -0.3
 24AUG1983         3.0        0.8       -0.4       -0.6
 31AUG1983         2.2        0.5       -0.3       -0.5
 07SEP1983         1.8        0.7        0.0       -0.5
 14SEP1983         2.1        0.4       -0.1       -0.3
 21SEP1983         1.4        0.3       -0.4       -0.6
 28SEP1983         1.6        0.1       -0.6       -0.9
 05OCT1983         2.0       -0.2       -0.8       -1.0
 12OCT1983         1.7        0.0       -0.7       -0.9
 19OCT1983         1.1        0.1       -0.7       -1.2
 26OCT1983         1.0       -0.8       -1.1       -0.6
 02NOV1983         1.2       -0.8       -1.1       -0.6
 09NOV1983         0.7       -0.7       -0.8       -0.8
 16NOV1983         0.8       -1.1       -1.4       -1.0
 23NOV1983         0.5       -1.2       -1.4       -1.0
 30NOV1983         0.5       -0.5       -0.8       -0.9
 07DEC1983         0.3       -0.6       -0.7       -0.7
 14DEC1983         0.5       -0.8       -1.1       -1.2
 21DEC1983         0.8       -0.9       -1.3       -1.1
 28DEC1983         0.7       -0.8       -1.4       -0.9
 04JAN1984         0.8       -0.4       -0.8       -0.6
 11JAN1984        -0.1       -0.7       -0.8       -0.8
 18JAN1984        -0.6       -1.0       -1.0       -0.8
 25JAN1984        -0.3       -0.8       -1.1       -0.9
 01FEB1984        -0.7       -0.4       -0.2       -0.4
 08FEB1984        -0.7        0.2        0.0       -0.4
 15FEB1984        -0.7        0.6        0.2       -1.0
 22FEB1984        -0.7        0.5        0.1       -1.1
 29FEB1984        -1.1        0.3       -0.1       -1.1
 07MAR1984        -0.7        0.3       -0.3       -1.0
 14MAR1984        -0.3       -0.3       -0.8       -1.0
 21MAR1984        -0.7       -0.3       -0.4       -0.8
 28MAR1984        -0.8       -0.3       -0.4       -0.6
 04APR1984        -0.3        0.2       -0.3       -0.7
 11APR1984         0.0        0.5       -0.1       -1.1
 18APR1984        -0.1       -0.1       -0.2       -1.0
 25APR1984        -0.7       -0.3       -0.5       -0.9
 02MAY1984        -0.4       -0.3       -0.6       -1.1
 09MAY1984        -0.9       -0.6       -0.3       -0.6
 16MAY1984        -1.0       -0.5       -0.3       -0.5
 23MAY1984        -0.8       -0.7       -0.6       -0.5
 30MAY1984        -0.7       -0.7       -0.4       -0.6
 06JUN1984        -0.5       -1.0       -0.9       -0.8
 13JUN1984        -0.6       -1.0       -0.8       -0.5
 20JUN1984        -0.5       -1.0       -0.7       -0.3
 27JUN1984        -0.7       -0.7       -0.4       -0.3
 04JUL1984        -0.5       -0.4        0.0        0.4
 11JUL1984        -0.2       -0.2       -0.3        0.1
 18JUL1984        -0.5       -0.4       -0.4       -0.3
 25JUL1984        -0.2       -0.9       -0.6       -0.3
 01AUG1984         0.0       -0.5       -0.4       -0.5
 08AUG1984        -0.6       -0.7       -0.4       -0.2
 15AUG1984        -0.2       -0.2        0.0       -0.2
 22AUG1984        -0.1        0.1        0.0       -0.3
 29AUG1984        -0.1       -0.1       -0.3       -0.3
 05SEP1984         0.0       -0.2       -0.2       -0.1
 12SEP1984        -0.1       -0.1       -0.2       -0.3
 19SEP1984        -0.4        0.3        0.1       -0.2
 26SEP1984        -0.2       -0.1       -0.3       -0.3
 03OCT1984        -0.1       -0.5       -0.2        0.0
 10OCT1984        -0.4       -0.4       -0.1       -0.4
 17OCT1984        -0.3       -0.7       -0.3       -0.3
 24OCT1984         0.1       -0.7       -0.9       -0.5
 31OCT1984         0.3       -0.5       -0.8       -0.3
 07NOV1984        -0.1       -0.5       -1.0       -0.3
 14NOV1984         0.0       -0.7       -1.2       -0.6
 21NOV1984         0.2       -1.1       -1.0       -0.4
 28NOV1984         0.6       -0.9       -1.0       -0.5
 05DEC1984         0.3       -0.9       -0.9       -0.6
 12DEC1984         0.2       -1.0       -1.3       -0.8
 19DEC1984         0.2       -1.3       -1.3       -0.7
 26DEC1984         0.3       -1.1       -1.3       -0.8
 02JAN1985        -0.1       -0.8       -0.8       -0.5
 09JAN1985        -0.7       -0.8       -0.9       -0.7
 16JAN1985        -0.7       -0.8       -0.8       -0.3
 23JAN1985        -0.7       -1.3       -1.1       -0.2
 30JAN1985        -0.7       -1.3       -1.0       -0.1
 06FEB1985        -1.1       -0.8       -0.6        0.0
 13FEB1985        -1.5       -0.8       -0.6       -0.1
 20FEB1985        -1.1       -0.9       -0.5       -0.1
 27FEB1985        -0.4       -0.7       -0.3       -0.4
 06MAR1985        -0.8       -0.6       -0.4       -0.6
 13MAR1985        -0.8       -0.8       -0.6       -0.4
 20MAR1985        -0.2       -0.5       -0.5       -0.6
 27MAR1985        -0.3       -0.2       -0.4       -0.7
 03APR1985        -0.8        0.1       -0.4       -0.7
 10APR1985        -1.2        0.1       -0.3       -0.8
 17APR1985        -1.5       -0.6       -0.6       -0.7
 24APR1985        -0.9       -0.7       -0.8       -0.4
 01MAY1985        -1.1       -1.0       -0.9       -0.6
 08MAY1985        -1.7       -1.2       -0.9       -0.4
 15MAY1985        -1.4       -0.8       -0.7       -0.6
 22MAY1985        -1.2       -0.4       -0.3       -0.7
 29MAY1985        -1.0       -0.5       -0.5       -0.8
 05JUN1985        -0.7       -0.3       -0.5       -0.7
 12JUN1985        -0.7       -0.5       -0.5       -0.4
 19JUN1985        -0.9       -1.0       -0.6       -0.2
 26JUN1985        -0.9       -0.7       -0.4       -0.4
 03JUL1985        -0.9       -0.9       -0.4       -0.3
 10JUL1985        -0.8       -0.7       -0.5       -0.4
 17JUL1985        -0.6       -0.8       -0.5       -0.2
 24JUL1985        -1.0       -0.5        0.0       -0.2
 31JUL1985        -1.2       -0.8        0.0       -0.1
 07AUG1985        -1.1       -1.0       -0.4        0.0
 14AUG1985        -0.9       -0.8       -0.6       -0.3
 21AUG1985        -0.5       -0.2        0.0       -0.2
 28AUG1985        -0.7        0.0        0.4        0.0
 04SEP1985        -0.9       -0.3        0.1        0.2
 11SEP1985        -0.8       -0.6       -0.4        0.0
 18SEP1985        -0.8       -0.5       -0.5       -0.4
 25SEP1985        -0.9       -0.7       -0.3       -0.3
 02OCT1985        -1.0       -0.7       -0.3       -0.1
 09OCT1985        -0.9       -0.8       -0.3        0.0
 16OCT1985        -0.5       -0.5       -0.4       -0.4
 23OCT1985        -0.5       -0.5       -0.3       -0.1
 30OCT1985        -0.4       -0.1        0.1        0.3
 06NOV1985        -0.4       -0.2        0.2        0.3
 13NOV1985        -0.6       -0.5        0.0        0.0
 20NOV1985        -0.3       -0.9       -0.5       -0.1
 27NOV1985        -0.1       -0.7       -0.4        0.1
 04DEC1985        -0.3       -0.5       -0.1        0.0
 11DEC1985        -0.1       -0.3        0.1        0.2
 18DEC1985        -0.1       -0.7       -0.3        0.1
 25DEC1985         0.1       -0.7       -0.5        0.0
 01JAN1986         0.4       -0.4       -0.3        0.0
 08JAN1986         0.2       -0.4       -0.1        0.0
 15JAN1986         0.5       -0.4       -0.2        0.1
 22JAN1986         0.5       -0.5       -0.3        0.0
 29JAN1986         0.5       -0.6       -0.5       -0.2
 05FEB1986         0.3       -0.6       -0.7        0.0
 12FEB1986         0.2       -0.1       -0.3        0.0
 19FEB1986        -0.1       -0.2       -0.4        0.0
 26FEB1986         0.1       -0.2       -0.6        0.1
 05MAR1986         0.3        0.1       -0.4        0.3
 12MAR1986         0.1        0.3       -0.1        0.4
 19MAR1986        -0.7        0.0       -0.1        0.2
 26MAR1986        -0.9       -0.4       -0.2       -0.1
 02APR1986        -0.9       -0.6       -0.2       -0.1
 09APR1986        -0.8       -0.2        0.0       -0.4
 16APR1986        -0.8        0.2        0.1       -0.4
 23APR1986        -0.6        0.2        0.0       -0.3
 30APR1986        -0.6       -0.3       -0.3       -0.3
 07MAY1986        -0.6       -0.4       -0.3       -0.1
 14MAY1986        -0.8       -0.6       -0.4       -0.3
 21MAY1986        -1.1       -0.6       -0.2        0.1
 28MAY1986        -1.2       -0.3        0.1        0.3
 04JUN1986        -0.9       -0.5       -0.3       -0.1
 11JUN1986        -0.8       -0.4        0.0        0.3
 18JUN1986        -0.5       -0.2        0.0        0.2
 25JUN1986        -0.7        0.3        0.4        0.2
 02JUL1986        -0.7        0.3        0.4        0.2
 09JUL1986        -0.3        0.4        0.5        0.1
 16JUL1986        -0.2        0.2        0.2        0.1
 23JUL1986        -0.3        0.2        0.3        0.0
 30JUL1986         0.0        0.2        0.4        0.2
 06AUG1986         0.1        0.0        0.3        0.2
 13AUG1986         0.5        0.2        0.5        0.5
 20AUG1986         0.4        0.3        0.7        0.6
 27AUG1986         0.2        0.7        1.0        0.5
 03SEP1986         0.5        0.9        1.0        0.4
 10SEP1986         0.3        0.7        0.8        0.5
 17SEP1986        -0.3        0.5        0.7        0.3
 24SEP1986         0.2        0.6        0.8        0.9
 01OCT1986         0.6        0.7        0.7        0.7
 08OCT1986         0.3        0.6        0.8        0.6
 15OCT1986         0.4        0.6        0.6        0.2
